"id","summary_id","participant_key","participant_label","participant_kind","opponent_key","won","side","opponent_side","matchup","total_force_spent","total_force_regen","ending_force","ending_hp","ending_armor","low_force_windows","grip_cripple_events","saber_throw_punishes","knockdown_events","late_defense_spends","opening_tactic","primary_issue","spent_neutral","spent_advantage","spent_disadvantage","spent_panic","spent_finishing","force_push","force_pull","force_grip","force_drain","force_rage","force_absorb","force_protect","force_heal","force_speed","force_seeing","force_unknown"
"433","217","user:socrates","socrates","1","user:void","1","1","1","1","543","464","21","60","4","13","0","7","1","0","unknown","low_force","196","25","19","243","60","0","0","0","0","0","0","0","0","0","543","0"
"434","217","user:void","void","1","user:socrates","0","1","1","1","477","422","100","-15","0","2","0","5","1","0","seeing","low_force","164","0","106","207","0","0","0","0","0","0","0","0","0","0","477","0"
"435","218","bot:/botfiles/gran.jkb","Gran","0","iphash:7d6be969","1","1","1","1","1742","1673","31","100","0","75","0","12","2","2","push","low_force","317","24","423","929","49","38","40","0","0","0","0","33","1631","0","0","0"
"436","218","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","bot:/botfiles/gran.jkb","0","1","1","1","1968","1876","100","-8","0","32","0","2","2","0","seeing","low_force","263","77","671","641","316","0","0","0","0","0","0","0","0","0","1968","0"
"437","219","user:void","void","1","user:socrates","1","1","1","1","704","653","43","64","0","5","0","12","1","0","seeing","low_force","20","0","469","68","147","0","0","0","0","0","0","0","0","0","704","0"
"438","219","user:socrates","socrates","1","user:void","0","1","1","1","1001","960","100","0","65","16","0","2","2","0","unknown","low_force","204","0","378","400","19","0","0","0","0","0","0","0","0","0","1001","0"
"439","220","user:void","void","1","user:socrates","1","1","1","1","959","910","51","67","0","14","0","8","3","0","seeing","low_force","187","0","342","320","110","0","0","0","0","0","0","0","0","0","959","0"
"440","220","user:socrates","socrates","1","user:void","0","1","1","1","1074","1074","100","0","0","22","0","10","3","0","seeing","low_force","199","0","243","557","75","0","0","0","0","0","0","0","0","0","1074","0"
"441","221","bot:/botfiles/gran.jkb","Gran","0","bot:/botfiles/chiss.jkb","1","1","2","2","902","846","44","100","99","54","0","0","0","11","heal","low_force","40","0","187","472","203","0","61","0","0","0","42","33","340","426","0","0"
"442","221","bot:/botfiles/chiss.jkb","Chiss","0","bot:/botfiles/gran.jkb","0","2","1","2","1111","1111","100","-19","29","2","0","2","1","0","speed","low_force","73","0","119","703","216","254","524","20","180","50","0","0","0","63","20","0"
"443","222","user:socrates","socrates","1","iphash:7d6be969","1","1","1","1","755","657","2","100","0","19","0","7","2","0","seeing","low_force","87","0","220","448","0","0","0","0","0","0","0","0","0","0","755","0"
"444","222","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:socrates","0","1","1","1","552","552","100","-12","0","0","0","5","0","0","unknown","saber_throw","348","48","45","0","111","0","0","0","0","0","0","0","0","0","552","0"
"445","223","user:void","void","1","bot:/botfiles/gran.jkb","1","1","1","1","89","89","100","100","69","1","0","1","0","0","unknown","low_force","40","0","0","49","0","0","0","0","0","0","0","0","0","0","89","0"
"446","223","bot:/botfiles/gran.jkb","Gran","0","user:void","0","1","1","1","100","100","100","-7","0","6","0","0","0","2","protect","low_force","0","0","74","26","0","0","0","0","0","0","0","15","85","0","0","0"
"447","224","user:void","void","1","bot:/botfiles/gran.jkb","1","1","1","1","1200","1184","84","80","97","31","0","0","1","0","seeing","low_force","218","40","92","580","270","0","0","0","0","0","0","0","0","0","1200","0"
"448","224","bot:/botfiles/gran.jkb","Gran","0","user:void","0","1","1","1","1658","1578","100","-4","0","49","0","21","5","3","unknown","low_force","0","0","431","1003","224","75","132","0","1","0","11","22","1417","0","0","0"
"449","225","user:socrates","socrates","1","iphash:7d6be969","1","1","1","1","4759","4676","17","97","0","102","0","25","7","0","seeing","low_force","480","0","1133","2820","326","0","0","0","0","0","0","0","0","0","4759","0"
"450","225","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:socrates","0","1","1","1","4748","4748","100","-15","0","61","0","31","12","0","seeing","low_force","1223","71","707","1774","973","0","0","0","0","0","0","0","0","0","4748","0"
"451","226","user:socrates","socrates","1","iphash:7d6be969","1","1","1","1","1019","972","53","59","0","30","0","7","3","0","seeing","low_force","20","0","472","473","54","0","0","0","0","0","0","0","0","0","1019","0"
"452","226","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:socrates","0","1","1","1","849","789","100","-4","0","14","0","4","3","0","seeing","low_force","203","99","62","385","100","0","0","0","0","0","0","0","0","0","849","0"
"453","227","user:socrates","socrates","1","iphash:7d6be969","1","1","1","1","2276","2179","0","64","0","41","0","16","6","0","unknown","low_force","353","11","408","1313","191","0","0","0","0","0","0","0","0","0","2276","0"
"454","227","iphash:7d6be969","^0ff^7'^0Gòónat¡Ç","2","user:socrates","0","1","1","1","2218","2174","100","-16","0","28","0","15","3","0","seeing","low_force","449","25","516","1023","205","0","0","0","0","0","0","0","0","0","2218","0"
"455","228","user:void","void","1","bot:/botfiles/reborn.jkb","1","1","2","2","219","133","8","40","99","21","0","0","2","0","seeing","low_force","56","0","68","80","15","0","0","0","0","0","0","0","0","0","219","0"
"456","228","bot:/botfiles/reborn.jkb","Reborn_Twin","0","user:void","0","2","1","2","292","289","100","0","7","2","0","3","3","0","drain","low_force","0","0","95","25","172","0","71","0","95","0","0","0","0","126","0","0"
