"id","start_time","end_time","duration","type","mapname","winner_key","winner_label","winner_kind","winner_side","loser_key","loser_label","loser_kind","loser_side","draw","winner_opening","loser_opening","source_context"
"1","1789838480","1789838511","31","1","maps/mp/duel10","bot:/botfiles/desann.jkb","Desann","0","2","bot:/botfiles/tavion.jkb","Rodian","0","2","0","pull","grip","duel"
"2","1789838508","1789838519","11","1","maps/mp/duel10","bot:/botfiles/trandoshan.jkb","Trandoshan","0","2","iphash:4d1013d3","^0-=^3'/^7o^3!^0d^0=-^6","2","2","0","grip","unknown","duel"
"3","1789838605","1789838627","22","1","maps/mp/duel10","bot:/botfiles/tavion.jkb","Rodian","0","2","iphash:4d1013d3","^0-=^3'/^7o^3!^0d^0=-^6","2","2","0","pull","unknown","duel"
"4","1789838632","1789838721","89","1","maps/mp/duel10","bot:/botfiles/imperial.jkb","Saboteur","0","2","bot:/botfiles/desann.jkb","Desann","0","2","0","grip","grip","duel"
"5","1789838743","1789838762","19","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn","0","2","iphash:4d1013d3","^0-=^3'/^7o^3!^0d^0=-^6","2","2","0","drain","seeing","duel"
"6","1789838764","1789838771","7","1","maps/mp/duel10","bot:/botfiles/desann.jkb","Desann","0","2","bot:/botfiles/reborn.jkb","New_Reborn","0","2","0","pull","drain","duel"
"7","1789838843","1789838896","53","1","maps/mp/duel10","bot:/botfiles/imperial.jkb","Saboteur","0","2","bot:/botfiles/desann.jkb","Desann","0","2","0","pull","pull","duel"
"8","1789838943","1789838960","17","1","maps/mp/duel10","bot:/botfiles/desann.jkb","Desann","0","2","iphash:4d1013d3","^0-=^3'/^7o^3!^0d^0=-^6","2","2","0","push","unknown","duel"
"9","1789838918","1789838989","71","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn","0","2","bot:/botfiles/imperial.jkb","Saboteur","0","2","0","drain","grip","duel"
"10","1789838676","1789839108","432","1","maps/mp/duel10","bot:/botfiles/trandoshan.jkb","Trandoshan","0","2","bot:/botfiles/tavion.jkb","Rodian","0","2","0","pull","push","duel"
"11","1789839955","1789839983","28","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn","0","2","user:void","void","1","2","0","pull","unknown","duel"
"12","1789839921","1789839986","65","1","maps/mp/duel10","bot:/botfiles/imperial.jkb","Saboteur","0","2","bot:/botfiles/reborn.jkb","New_Reborn^7[0]","0","2","0","seeing","push","duel"
"13","1789840040","1789840088","48","1","maps/mp/duel10","bot:/botfiles/imperial.jkb","Saboteur","0","2","user:void","void","1","2","0","drain","seeing","duel"
"14","1789840172","1789840189","17","1","maps/mp/duel10","bot:/botfiles/desann.jkb","Desann","0","2","user:void","void","1","2","0","grip","unknown","duel"
"15","1789840110","1789840192","82","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn^7[0]","0","2","bot:/botfiles/imperial.jkb","Saboteur","0","2","0","unknown","grip","duel"
"16","1789840030","1789840224","194","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn","0","2","bot:/botfiles/trandoshan.jkb","Trandoshan","0","2","0","grip","push","duel"
"17","1789840315","1789840472","157","1","maps/mp/duel10","bot:/botfiles/imperial.jkb","Saboteur","0","2","bot:/botfiles/reborn.jkb","New_Reborn^7[0]","0","2","0","grip","drain","duel"
"18","1789840596","1789840648","52","1","maps/mp/duel10","bot:/botfiles/desann.jkb","Desann","0","2","bot:/botfiles/imperial.jkb","Saboteur","0","2","0","drain","grip","duel"
"19","1789840345","1789840779","434","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn","0","2","bot:/botfiles/trandoshan.jkb","Trandoshan","0","2","0","push","pull","duel"
"20","1789840715","1789840845","130","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn^7[0]","0","2","bot:/botfiles/imperial.jkb","Saboteur","0","2","0","pull","push","duel"
"21","1789840919","1789841023","104","1","maps/mp/duel10","bot:/botfiles/desann.jkb","Desann","0","2","bot:/botfiles/imperial.jkb","Saboteur","0","2","0","pull","pull","duel"
"22","1789840902","1789841108","206","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn","0","2","bot:/botfiles/trandoshan.jkb","Trandoshan","0","2","0","unknown","pull","duel"
"23","1789841146","1789841238","92","1","maps/mp/duel10","bot:/botfiles/imperial.jkb","Saboteur","0","2","bot:/botfiles/reborn.jkb","New_Reborn^7[0]","0","2","0","drain","speed","duel"
"24","1789841230","1789841449","219","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn","0","2","bot:/botfiles/trandoshan.jkb","Trandoshan","0","2","0","drain","drain","duel"
"25","1789841454","1789841482","28","1","maps/mp/duel10","bot:/botfiles/trandoshan.jkb","Trandoshan","0","2","bot:/botfiles/reborn.jkb","New_Reborn","0","2","0","drain","grip","duel"
"26","1789841266","1789841547","281","1","maps/mp/duel10","bot:/botfiles/desann.jkb","Desann","0","2","bot:/botfiles/imperial.jkb","Saboteur","0","2","0","grip","drain","duel"
"27","1789841669","1789841776","107","1","maps/mp/duel10","bot:/botfiles/desann.jkb","Desann","0","2","bot:/botfiles/imperial.jkb","Saboteur","0","2","0","speed","pull","duel"
"28","1789841844","1789841925","81","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn^7[0]","0","2","bot:/botfiles/reborn.jkb","New_Reborn","0","2","0","grip","drain","duel"
"29","1789841897","1789842051","154","1","maps/mp/duel10","bot:/botfiles/desann.jkb","Desann","0","2","bot:/botfiles/imperial.jkb","Saboteur","0","2","0","unknown","drain","duel"
"30","1789842054","1789842094","40","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn","0","2","bot:/botfiles/desann.jkb","Desann","0","2","0","grip","drain","duel"
"31","1789841964","1789842323","359","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn^7[0]","0","2","bot:/botfiles/trandoshan.jkb","Trandoshan","0","2","0","drain","grip","duel"
"32","1789842456","1789842508","52","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn","0","2","bot:/botfiles/trandoshan.jkb","Trandoshan","0","2","0","push","pull","duel"
"33","1789842445","1789842545","100","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn^7[0]","0","2","bot:/botfiles/imperial.jkb","Saboteur","0","2","0","drain","drain","duel"
"34","1789842577","1789842695","118","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn","0","2","bot:/botfiles/desann.jkb","Desann","0","2","0","pull","drain","duel"
"35","1789842631","1789842718","87","1","maps/mp/duel10","bot:/botfiles/imperial.jkb","Saboteur","0","2","bot:/botfiles/reborn.jkb","New_Reborn^7[0]","0","2","0","drain","push","duel"
"36","1789842818","1789842837","19","1","maps/mp/duel10","bot:/botfiles/desann.jkb","Desann","0","2","bot:/botfiles/reborn.jkb","New_Reborn","0","2","0","drain","pull","duel"
"37","1789842721","1789842846","125","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn^7[0]","0","2","bot:/botfiles/trandoshan.jkb","Trandoshan","0","2","0","drain","speed","duel"
"38","1789842959","1789843056","97","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn^7[0]","0","2","bot:/botfiles/reborn.jkb","New_Reborn","0","2","0","drain","pull","duel"
"39","1789842967","1789843276","309","1","maps/mp/duel10","bot:/botfiles/trandoshan.jkb","Trandoshan","0","2","bot:/botfiles/imperial.jkb","Saboteur","0","2","0","grip","grip","duel"
"40","1789843178","1789843305","127","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn","0","2","bot:/botfiles/desann.jkb","Desann","0","2","0","drain","speed","duel"
"41","1789843299","1789843406","107","1","maps/mp/duel10","bot:/botfiles/reborn.jkb","New_Reborn^7[0]","0","2","bot:/botfiles/trandoshan.jkb","Trandoshan","0","2","0","grip","drain","duel"
"42","1789843398","1789843476","78","1","maps/mp/duel10","bot:/botfiles/imperial.jkb","Saboteur","0","2","bot:/botfiles/reborn.jkb","New_Reborn","0","2","0","speed","speed","duel"
"43","1789843428","1789843478","50","1","maps/mp/duel10","bot:/botfiles/desann.jkb","Desann","0","2","bot:/botfiles/reborn.jkb","New_Reborn^7[0]","0","2","0","drain","pull","duel"
"44","1789843852","1789843947","95","1","maps/mp/duel10","bot:/botfiles/chiss.jkb","Chiss","0","2","iphash:4d1013d3","Padawan","2","2","0","speed","","duel"
"45","1789843992","1789844139","147","1","maps/mp/duel10","bot:/botfiles/chiss.jkb","Chiss","0","2","iphash:4d1013d3","Padawan","2","2","0","speed","seeing","duel"
"46","1789844990","1789845033","43","1","maps/mp/duel10","bot:/botfiles/chiss.jkb","Chiss","0","2","iphash:4d1013d3","Padawan","2","2","0","speed","unknown","duel"
"47","1789845097","1789845136","39","1","maps/mp/duel10","bot:/botfiles/chiss.jkb","Chiss","0","2","iphash:4d1013d3","Padawan","2","2","0","pull","unknown","duel"
"48","1789845207","1789845221","14","1","maps/mp/duel10","bot:/botfiles/chiss.jkb","Chiss","0","2","iphash:4d1013d3","Padawan","2","2","0","speed","","duel"
"49","1789860225","1789860258","33","1","maps/mp/duel10","iphash:f794a9d2","^0Gòón^2.^6µ^0ps","2","2","bot:/botfiles/chiss.jkb","Chiss","0","2","0","seeing","pull","duel"
"50","1789860314","1789860320","6","1","maps/mp/ffa3","iphash:f794a9d2","^0Gòón^2.^6µ^0ps","2","2","bot:/botfiles/chiss.jkb","Chiss","0","2","0","seeing","","duel"
"51","1789863115","1789863139","24","1","maps/mp/ffa3","iphash:c7c8a416","^0FF^4'^0Prinky","2","1","iphash:7d6be969","^0Gòón^2.^6µ^0ps","2","2","0","seeing","seeing","duel"
"52","1789863565","1789863614","49","1","maps/mp/ffa3","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","iphash:fa31973a","^0ff^6'^0heretic","2","2","0","seeing","seeing","duel"
"53","1789863621","1789863660","39","1","maps/mp/ffa3","iphash:fa31973a","^0ff^6'^0heretic","2","2","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","0","seeing","seeing","duel"
"54","1789863667","1789863768","101","1","maps/mp/ffa3","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","iphash:fa31973a","^0ff^6'^0heretic","2","2","0","seeing","seeing","duel"
"55","1789863775","1789863797","22","1","maps/mp/ffa3","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","iphash:fa31973a","^0ff^6'^0heretic","2","2","0","seeing","seeing","duel"
"56","1789863802","1789863839","37","1","maps/mp/ffa3","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","iphash:fa31973a","^0ff^6'^0heretic","2","2","0","seeing","seeing","duel"
"57","1789863843","1789863932","89","1","maps/mp/ffa3","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","iphash:fa31973a","^0ff^6'^0heretic","2","2","0","unknown","seeing","duel"
"58","1789863941","1789863982","41","1","maps/mp/ffa3","iphash:fa31973a","^0ff^6'^0heretic","2","2","iphash:c7c8a416","^0FF^4'^0Prinky","2","2","0","seeing","unknown","duel"
