"id","session_id","participant_key","participant_label","participant_kind","opponent_key","opponent_label","opponent_kind","rel_time","event_index","sequence_id","event_type","power","amount","state","range_bucket","buttons","saber_move","enemy_saber_move","yaw_delta","note"
"1253","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50721","101","1","regen","10","1","3","2","256","0","0","111",""
"1254","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50754","102","1","regen","10","1","3","2","256","0","0","115",""
"1255","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50787","103","1","regen","10","1","3","2","256","0","0","119",""
"1256","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50820","104","1","regen","10","1","3","2","320","1","0","124",""
"1257","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50853","105","1","regen","10","1","3","2","320","1","0","128",""
"1258","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50886","106","1","regen","10","1","3","2","320","1","0","133",""
"1259","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50919","107","1","regen","10","1","3","2","320","1","0","138",""
"1260","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50952","108","1","regen","10","1","3","2","320","1","0","143",""
"1261","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","50985","109","1","regen","10","1","3","2","320","1","0","147",""
"1262","10","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/easyds2.jkb","Snowtrooper","0","51018","110","1","regen","10","1","3","2","320","1","0","151",""
