"id","source_context","start_time","end_time","duration","mapname","participant_key","participant_label","participant_kind","result","arcade_level","total_kills","total_force_spent","total_force_regen","total_damage_taken","total_damage_dealt","low_force_windows","knockdown_events","counter_successes","punish_successes","reset_successes","saber_return_punishes"
"138","arcade","1790298880","1790298973","93","maps/vjun3","user:void","void","1","eliminated","8","0","1286","1203","631","472","77","3","14","6","23","1"
"139","arcade","1790298983","1790299001","18","maps/vjun3","user:void","void","1","level_clear","2","1","121","80","32","139","1","0","1","1","1","0"
"140","arcade","1790299002","1790299086","84","maps/vjun3","user:void","void","1","level_clear","3","1","725","702","132","201","8","1","2","6","6","1"
"141","arcade","1790299088","1790299114","26","maps/vjun3","user:void","void","1","level_clear","4","1","128","55","0","88","6","0","0","0","1","1"
"142","arcade","1790299116","1790299150","34","maps/vjun3","user:void","void","1","level_clear","5","2","189","117","81","178","0","1","3","0","0","1"
"143","arcade","1790299151","1790299196","45","maps/vjun3","user:void","void","1","eliminated","6","1","506","440","130","375","32","0","9","2","6","3"
"144","arcade","1790299207","1790299218","11","maps/vjun3","user:void","void","1","level_clear","2","1","78","8","0","88","0","0","0","0","0","1"
"145","arcade","1790299220","1790299231","11","maps/vjun3","user:void","void","1","level_clear","3","1","78","0","0","88","0","0","0","0","0","0"
"146","arcade","1790299233","1790299244","11","maps/vjun3","user:void","void","1","level_clear","4","1","105","34","1","89","0","0","4","0","0","0"
"147","arcade","1790299246","1790299321","75","maps/vjun3","user:void","void","1","level_clear","5","2","813","720","182","405","46","2","2","3","8","2"
"148","arcade","1790299323","1790299387","64","maps/vjun3","user:void","void","1","level_clear","6","2","848","748","235","396","22","3","10","1","3","2"
"149","arcade","1790299389","1790299450","61","maps/vjun3","user:void","void","1","level_clear","7","2","936","836","390","554","38","4","10","11","9","0"
"150","arcade","1790299452","1790299490","38","maps/vjun3","user:void","void","1","level_clear","8","2","476","376","167","233","4","2","2","2","1","1"
"151","arcade","1790299492","1790299549","57","maps/vjun3","user:void","void","1","eliminated","9","1","789","691","296","441","14","2","6","7","3","1"
